id,timestamp,test,file_size,download_mbps,upload_mbps,latency_ms,loaded_latency_ms,jitter_ms,server,status,error_msg
84,2026-06-08T23:19:01.290173+00:00,cdn_hetzner,medium,386.84,,,,,Hetzner,ok,
85,2026-06-08T23:19:01.302103+00:00,cdn_hetzner,large,386.42,,,,,Hetzner,ok,
86,2026-06-08T23:19:01.313213+00:00,cdn_ovh,small,69.83,,,,,OVH,ok,
87,2026-06-08T23:19:01.325224+00:00,cdn_ovh,medium,281.69,,,,,OVH,ok,
88,2026-06-08T23:19:01.336765+00:00,cdn_ovh,large,338.34,,,,,OVH,ok,
89,2026-06-08T23:19:01.348826+00:00,cdn_vultr,small,402.83,,,,,Vultr,ok,
90,2026-06-08T23:19:01.360076+00:00,cdn_vultr,medium,403.12,,,,,Vultr,ok,
91,2026-06-08T23:19:01.372192+00:00,cdn_vultr,large,386.57,,,,,Vultr,ok,
92,2026-06-08T23:21:36.552653+00:00,cloudflare_full,,,,,,,Cloudflare,error,All download measurements failed.
96,2026-06-08T23:21:36.615536+00:00,cdn_hetzner,small,375.41,,,,,Hetzner,ok,
97,2026-06-08T23:21:36.626961+00:00,cdn_hetzner,medium,386.02,,,,,Hetzner,ok,
98,2026-06-08T23:21:36.638033+00:00,cdn_hetzner,large,386.34,,,,,Hetzner,ok,
99,2026-06-08T23:21:36.649292+00:00,cdn_ovh,small,65.12,,,,,OVH,ok,
100,2026-06-08T23:21:36.659996+00:00,cdn_ovh,medium,277.99,,,,,OVH,ok,
101,2026-06-08T23:21:36.671360+00:00,cdn_ovh,large,317.03,,,,,OVH,ok,
102,2026-06-08T23:21:36.682515+00:00,cdn_vultr,small,396.22,,,,,Vultr,ok,
103,2026-06-08T23:21:36.693959+00:00,cdn_vultr,medium,403.18,,,,,Vultr,ok,
104,2026-06-08T23:21:36.704772+00:00,cdn_vultr,large,402.26,,,,,Vultr,ok,
105,2026-06-08T23:36:57.012219+00:00,cloudflare_full,,,,,,,Cloudflare,error,All download measurements failed.
109,2026-06-08T23:36:57.064922+00:00,cdn_hetzner,small,376.76,,,,,Hetzner,ok,
110,2026-06-08T23:36:57.077358+00:00,cdn_hetzner,medium,388,,,,,Hetzner,ok,
111,2026-06-08T23:36:57.089564+00:00,cdn_hetzner,large,386.6,,,,,Hetzner,ok,
112,2026-06-08T23:36:57.102009+00:00,cdn_ovh,small,64.19,,,,,OVH,ok,
113,2026-06-08T23:36:57.113885+00:00,cdn_ovh,medium,267.67,,,,,OVH,ok,
114,2026-06-08T23:36:57.126397+00:00,cdn_ovh,large,403.24,,,,,OVH,ok,
115,2026-06-08T23:36:57.138676+00:00,cdn_vultr,small,400.15,,,,,Vultr,ok,
116,2026-06-08T23:36:57.151221+00:00,cdn_vultr,medium,402.39,,,,,Vultr,ok,
117,2026-06-08T23:36:57.163233+00:00,cdn_vultr,large,402.96,,,,,Vultr,ok,
118,2026-06-08T23:41:44.829700+00:00,cloudflare_full,small,77.06,60.23,81.51,,3.37,Cloudflare,ok,
119,2026-06-08T23:41:44.842353+00:00,cloudflare_full,medium,,96.5,81.51,82.71,3.37,Cloudflare,ok,
120,2026-06-08T23:41:44.854884+00:00,cloudflare_full,large,,100.67,81.51,,3.37,Cloudflare,ok,
124,2026-06-08T23:41:44.903921+00:00,cdn_hetzner,small,382.79,,,,,Hetzner,ok,
125,2026-06-08T23:41:44.916159+00:00,cdn_hetzner,medium,379.85,,,,,Hetzner,ok,
126,2026-06-08T23:41:44.928362+00:00,cdn_hetzner,large,385.09,,,,,Hetzner,ok,
127,2026-06-08T23:41:44.940678+00:00,cdn_ovh,small,63.14,,,,,OVH,ok,
128,2026-06-08T23:41:44.953303+00:00,cdn_ovh,medium,284.93,,,,,OVH,ok,
129,2026-06-08T23:41:44.965640+00:00,cdn_ovh,large,201.45,,,,,OVH,ok,
130,2026-06-08T23:41:44.977934+00:00,cdn_vultr,small,403.01,,,,,Vultr,ok,
131,2026-06-08T23:41:44.990344+00:00,cdn_vultr,medium,402.36,,,,,Vultr,ok,
132,2026-06-08T23:41:45.003065+00:00,cdn_vultr,large,402.68,,,,,Vultr,ok,
133,2026-06-08T23:50:55.656385+00:00,cloudflare_full,small,76.99,58.46,89.18,,4.9,Cloudflare,ok,
134,2026-06-08T23:50:55.669315+00:00,cloudflare_full,medium,,93.77,89.18,79.82,4.9,Cloudflare,ok,
135,2026-06-08T23:50:55.681784+00:00,cloudflare_full,large,,99.98,89.18,,4.9,Cloudflare,ok,
136,2026-06-08T23:50:55.694289+00:00,cdn_hetzner,small,386.91,,,,,Hetzner,ok,
137,2026-06-08T23:50:55.707095+00:00,cdn_hetzner,medium,384.68,,,,,Hetzner,ok,
138,2026-06-08T23:50:55.719682+00:00,cdn_hetzner,large,384.54,,,,,Hetzner,ok,
